time,gFx,gFy,gFz,TgF
4.046000,0.7758,0.6449,-0.0103,0.928
4.056000,0.7250,0.6576,-0.0171,0.899
4.066000,0.6722,0.6663,-0.0397,0.869
4.078000,0.6029,0.7054,-0.0240,0.852
4.088000,0.5569,0.7318,0.0062,0.844
4.096000,0.5452,0.7543,0.0267,0.856
4.106000,0.5354,0.7719,0.0296,0.866
4.121000,0.5531,0.7856,0.0238,0.887
4.132000,0.5696,0.8022,0.0169,0.910
4.136000,0.5882,0.8228,-0.0035,0.937
4.147000,0.5794,0.8384,-0.0015,0.945
4.156000,0.5687,0.8471,-0.0045,0.947
4.166000,0.5531,0.8335,0.0083,0.927
4.181000,0.5070,0.8081,0.0238,0.882
4.186000,0.5159,0.8022,0.0131,0.881
4.197000,0.4963,0.7934,0.0189,0.864
4.206000,0.4924,0.7924,0.0072,0.861
4.217000,0.4983,0.8012,0.0140,0.872
4.230000,0.5179,0.8237,0.0140,0.901
4.236000,0.5384,0.8442,0.0140,0.929
4.248000,0.5745,0.8550,-0.0269,0.958
4.260000,0.5999,0.8550,-0.0318,0.971
4.266000,0.6244,0.8403,-0.0406,0.973
4.277000,0.6605,0.8335,-0.0406,0.989
4.286000,0.6654,0.8452,-0.0514,1.002
4.296000,0.6605,0.8736,-0.0758,1.024
4.313000,0.6107,0.9293,-0.0680,1.042
4.328000,0.5716,0.9595,-0.0397,1.047
4.329000,0.5296,0.9576,-0.0192,1.025
4.336000,0.5061,0.9479,-0.0348,1.006
4.346000,0.4993,0.9312,-0.0397,0.989
4.357000,0.5198,0.8999,-0.0348,0.970
4.366000,0.5677,0.9048,-0.0553,0.998
4.377000,0.6058,0.9224,-0.0856,1.035
4.386000,0.6419,0.9185,-0.0837,1.051
4.396000,0.6566,0.9146,-0.0700,1.055
4.409000,0.6635,0.9341,-0.0406,1.073
4.417000,0.6869,0.9048,0.0140,1.061
4.426000,0.7485,0.8950,0.0287,1.090
4.436000,0.7104,0.9067,-0.0103,1.076
4.446000,0.6644,0.9302,-0.0357,1.070
4.461000,0.6195,0.9039,-0.0231,1.023
4.466000,0.6321,0.8628,-0.0260,0.995
4.476000,0.6283,0.8237,-0.0182,0.961
4.489000,0.6165,0.8149,-0.0446,0.948
4.496000,0.5911,0.8119,-0.0103,0.930
4.520000,0.5950,0.8081,-0.0201,0.929
4.522000,0.5999,0.8022,-0.0152,0.927
4.526000,0.5843,0.8032,-0.0182,0.919
4.539000,0.5462,0.8159,0.0159,0.909
4.546000,0.5110,0.8207,0.0394,0.895
4.556000,0.5022,0.8266,0.0394,0.896
4.566000,0.4758,0.8452,0.0364,0.900
4.577000,0.4378,0.8589,0.0208,0.896
4.589000,0.4035,0.8471,0.0083,0.871
4.596000,0.3966,0.8491,0.0315,0.871
4.618000,0.3898,0.8931,0.0257,0.909
4.621000,0.3859,0.9332,0.0131,0.945
4.626000,0.3595,0.9507,-0.0045,0.954
4.637000,0.3381,0.9370,-0.0103,0.935
4.646000,0.3409,0.9400,-0.0026,0.938
4.656000,0.3097,0.9136,0.0102,0.904
4.668000,0.3312,0.9018,-0.0113,0.899
4.676000,0.3067,0.9185,-0.0329,0.909
4.687000,0.2843,0.9430,-0.0289,0.927
4.696000,0.2706,0.9214,-0.0260,0.903
4.711000,0.2715,0.9176,-0.0299,0.899
4.717000,0.3165,0.9155,-0.0632,0.911
4.726000,0.7152,0.8422,-0.2966,1.073
4.739000,1.6036,1.1540,-0.4140,1.942
4.751000,1.9954,1.2321,-0.1510,2.269
4.760000,1.5645,1.0465,-0.3113,1.829
4.768000,-0.2092,0.7289,-0.0856,0.748
4.776000,-0.5190,0.4464,-0.0611,0.719
4.787000,-0.7193,0.5081,-0.0876,0.922
4.798000,-0.4447,0.8139,-0.1462,0.942
4.816000,0.0830,1.1413,-0.2928,1.141
4.818000,0.6312,1.3544,-0.2498,1.451
4.826000,0.8755,1.3915,-0.1510,1.580
4.843000,0.8100,1.2908,-0.1002,1.456
4.847000,0.5706,1.1452,-0.0611,1.214
4.861000,0.2990,0.9615,-0.0993,0.954
4.868000,0.2266,0.8345,-0.1569,0.826
4.882000,0.1709,0.7983,-0.1716,0.785
4.891000,0.2442,0.8579,-0.1599,0.852
4.908000,0.2482,0.8950,-0.1589,0.888
4.910000,0.2696,0.9468,-0.1061,0.934
4.928000,0.2794,0.9742,-0.0240,0.956
4.930000,0.2862,0.9703,0.0034,0.953
4.939000,0.2980,0.9859,0.0569,0.972
4.949000,0.3029,1.0084,0.0716,0.996
4.956000,0.3058,0.9938,0.0511,0.981
4.969000,0.3566,0.9586,0.0482,0.961
4.978000,0.4240,0.9136,0.0443,0.941
4.986000,0.4768,0.8843,0.0736,0.937
4.999000,0.4788,0.9458,0.1166,0.997
5.006000,0.4094,1.0348,0.1381,1.057
5.023000,0.3058,1.0406,0.0872,1.029
5.038000,0.2569,0.9351,0.0492,0.913
5.039000,0.2784,0.8002,0.0453,0.787
5.050000,0.3253,0.7719,0.0345,0.774
5.058000,0.3263,0.9742,0.0043,0.967
5.077000,0.3009,1.0436,-0.0113,1.028
5.079000,0.1426,1.0681,-0.0289,1.030
5.086000,-0.0322,1.0621,0.0872,1.028
5.097000,-0.1007,1.0269,0.0853,1.002
5.109000,-0.0196,0.9595,0.1068,0.927
5.117000,0.1035,0.9468,0.0315,0.906
5.128000,0.2315,0.9107,0.0629,0.885
5.144000,0.2736,0.9058,0.1088,0.893
5.147000,0.2569,0.9928,0.1293,0.976
5.156000,0.1856,1.0611,0.0648,1.027
5.166000,0.1406,1.0006,0.0501,0.962
5.183000,0.1211,0.9479,0.0169,0.907
5.186000,0.1436,0.9556,0.0121,0.917
5.201000,0.1699,1.0045,0.0501,0.968
5.206000,0.1914,1.0280,0.0667,0.995
5.225000,0.1729,0.9537,0.0413,0.918
5.227000,0.1602,0.9605,0.0277,0.923
5.236000,0.1259,1.0015,0.0131,0.961
5.249000,0.0868,0.9947,0.0208,0.953
5.259000,0.0898,0.9517,-0.0026,0.910
5.267000,0.0859,0.9615,0.0131,0.920
5.277000,0.0694,0.9898,0.0102,0.948
5.286000,0.0479,0.9771,0.0023,0.936
5.298000,0.0371,0.9830,0.0179,0.942
5.307000,0.0254,0.9977,0.0189,0.957
5.334000,0.0079,0.9898,0.0580,0.951
5.341000,0.0235,0.9928,0.0823,0.954
5.342000,0.0352,0.9791,0.0776,0.940
5.346000,0.0615,0.9733,0.0629,0.933
5.360000,0.0888,0.9898,0.0296,0.948
5.367000,0.0849,0.9859,0.0306,0.944
5.378000,0.0800,0.9742,0.0550,0.933
5.389000,0.0781,0.9859,0.0569,0.945
5.403000,0.0761,0.9928,0.0804,0.953
5.421000,0.0333,0.9869,0.1224,0.952
5.426000,0.0264,0.9849,0.1312,0.951
5.427000,0.0137,0.9869,0.1440,0.956
5.439000,-0.0079,0.9859,0.1528,0.957
5.446000,-0.0068,0.9869,0.1577,0.959
5.456000,0.0049,0.9879,0.1694,0.961
5.466000,0.0186,0.9810,0.1684,0.953
5.476000,0.0322,0.9801,0.1547,0.950
5.491000,0.0430,0.9810,0.1284,0.947
5.496000,0.0322,0.9869,0.1498,0.956
5.507000,0.0224,0.9938,0.1391,0.961
5.516000,0.0303,0.9810,0.1586,0.951
5.526000,0.0205,0.9966,0.1547,0.966
5.546000,0.0117,1.0074,0.1479,0.977
5.547000,-0.0322,0.9917,0.1557,0.966
5.556000,-0.0215,0.9957,0.1850,0.973
5.566000,-0.0498,0.9898,0.1508,0.965
5.578000,-0.0059,0.9733,0.1410,0.943
5.591000,0.0079,0.9879,0.1342,0.956
5.596000,-0.0049,0.9938,0.1235,0.961
5.608000,0.0156,0.9898,0.1117,0.955
5.622000,0.0469,0.9810,0.1058,0.944
5.626000,0.0469,0.9898,0.1049,0.953
5.640000,0.0587,0.9928,0.0765,0.953
5.646000,0.0712,0.9771,0.0541,0.936
5.658000,0.0664,0.9781,0.0385,0.936
5.669000,0.0655,0.9869,0.0218,0.945
5.676000,0.0615,0.9820,0.0287,0.940
5.688000,0.0810,0.9771,0.0189,0.935
5.696000,0.0664,0.9820,0.0472,0.941
5.706000,0.0596,0.9849,0.0648,0.944
5.726000,0.0489,0.9801,0.0707,0.940
