time,gFx,gFy,gFz,gFTotal
2020-07-29 9:7:33.4510,0.217,0.967,0.055,0.993
2020-07-29 9:7:33.4610,0.203,0.946,0.079,0.971
2020-07-29 9:7:33.5030,0.233,1.013,0.169,1.053
2020-07-29 9:7:33.5030,0.233,1.013,0.169,1.053
2020-07-29 9:7:33.5040,0.233,1.013,0.169,1.053
2020-07-29 9:7:33.5040,0.233,1.013,0.169,1.053
2020-07-29 9:7:33.5100,0.211,1.001,0.148,1.034
2020-07-29 9:7:33.5200,0.234,0.984,0.137,1.021
2020-07-29 9:7:33.5300,0.187,1.018,0.133,1.044
2020-07-29 9:7:33.5400,0.236,0.952,0.142,0.991
2020-07-29 9:7:33.5510,0.287,0.988,0.11,1.035
2020-07-29 9:7:33.5600,0.262,0.987,0.123,1.029
2020-07-29 9:7:33.6000,0.244,0.981,0.14,1.021
2020-07-29 9:7:33.6000,0.244,0.981,0.14,1.021
2020-07-29 9:7:33.6010,0.244,0.981,0.14,1.021
2020-07-29 9:7:33.6020,0.244,0.981,0.14,1.021
2020-07-29 9:7:33.6100,0.274,0.994,0.148,1.042
2020-07-29 9:7:33.6200,0.272,1.013,0.166,1.062
2020-07-29 9:7:33.6300,0.255,1.037,0.163,1.08
2020-07-29 9:7:33.6400,0.266,1.001,0.16,1.048
2020-07-29 9:7:33.6500,0.25,0.982,0.075,1.016
2020-07-29 9:7:33.6600,0.253,0.994,0.096,1.03
2020-07-29 9:7:33.7020,0.164,1.077,0.138,1.098
2020-07-29 9:7:33.7020,0.164,1.077,0.138,1.098
2020-07-29 9:7:33.7020,0.164,1.077,0.138,1.098
2020-07-29 9:7:33.7030,0.164,1.077,0.138,1.098
2020-07-29 9:7:33.7100,0.17,1.055,0.117,1.075
2020-07-29 9:7:33.7200,0.238,1.095,0.094,1.125
2020-07-29 9:7:33.7300,0.193,1.089,0.137,1.114
2020-07-29 9:7:33.7400,0.173,1.192,0.206,1.222
2020-07-29 9:7:33.7500,0.259,1.298,0.203,1.339
2020-07-29 9:7:33.7600,-0.092,1.522,0.11,1.529
2020-07-29 9:7:33.7970,0.302,1.737,0.194,1.774
2020-07-29 9:7:33.7980,0.302,1.737,0.194,1.774
2020-07-29 9:7:33.7980,0.302,1.737,0.194,1.774
2020-07-29 9:7:33.8000,0.435,1.51,0.138,1.577
2020-07-29 9:7:33.8100,0.439,1.329,0.047,1.4
2020-07-29 9:7:33.8190,0.476,1.836,-0.013,1.897
2020-07-29 9:7:33.8290,0.564,1.776,0.299,1.887
2020-07-29 9:7:33.8400,0.466,1.632,0.543,1.782
2020-07-29 9:7:33.8500,0.459,1.836,0.525,1.964
2020-07-29 9:7:33.8600,0.274,2.053,0.429,2.115
2020-07-29 9:7:33.9060,-0.451,2.712,0.171,2.755
2020-07-29 9:7:33.9060,-0.451,2.712,0.171,2.755
2020-07-29 9:7:33.9060,-0.451,2.712,0.171,2.755
2020-07-29 9:7:33.9060,-0.451,2.712,0.171,2.755
