time,gFx,gFy,gFz,TgF
2.252000,-0.2863,0.1806,0.9316,0.995
2.265000,-0.2942,0.1767,0.9150,0.982
2.271000,-0.2863,0.1855,0.9169,0.982
2.285000,-0.2961,0.1846,0.9101,0.979
2.292000,-0.2971,0.1885,0.9160,0.986
2.302000,-0.2922,0.1914,0.9190,0.987
2.323000,-0.2912,0.1944,0.9190,0.987
2.324000,-0.2824,0.1904,0.9169,0.982
2.339000,-0.2795,0.1953,0.9316,0.995
2.342000,-0.2834,0.1914,0.9316,0.996
2.352000,-0.2824,0.1865,0.9229,0.986
2.365000,-0.2844,0.1767,0.9287,0.991
2.371000,-0.2961,0.1865,0.9131,0.982
2.382000,-0.2902,0.1797,0.9131,0.979
2.392000,-0.2942,0.1885,0.9169,0.986
2.402000,-0.2863,0.1904,0.9287,0.994
2.419000,-0.2727,0.1865,0.9306,0.990
2.424000,-0.2658,0.1914,0.9404,0.998
2.435000,-0.2844,0.1972,0.9374,1.002
2.441000,-0.3049,0.1914,0.9190,0.992
2.452000,-0.3117,0.1778,0.9150,0.989
2.464000,-0.3245,0.1895,0.9141,0.995
2.472000,-0.3088,0.1797,0.9072,0.981
2.482000,-0.3147,0.1748,0.8974,0.974
2.492000,-0.2922,0.1797,0.9131,0.980
2.502000,-0.2922,0.1816,0.9082,0.976
2.519000,-0.2863,0.1797,0.9092,0.974
2.522000,-0.2873,0.1787,0.9199,0.984
2.532000,-0.2746,0.1865,0.9258,0.986
2.547000,-0.2707,0.1855,0.9199,0.979
2.552000,-0.2765,0.1865,0.9120,0.974
2.564000,-0.2942,0.2021,0.9033,0.975
2.578000,-0.2863,0.1923,0.9043,0.972
2.583000,-0.2971,0.1983,0.9141,0.986
2.595000,-0.2991,0.1972,0.9150,0.987
2.602000,-0.2893,0.1992,0.9218,0.990
2.612000,-0.2707,0.1953,0.9267,0.987
2.621000,-0.2658,0.2021,0.9423,1.001
2.631000,-0.2746,0.1904,0.9336,0.994
2.650000,-0.2746,0.1758,0.9190,0.979
2.652000,-0.2238,0.1748,0.9532,0.994
2.669000,-0.2639,0.1914,0.9707,1.025
2.671000,-0.2756,0.2041,0.9766,1.037
2.686000,-0.2883,0.2081,0.9658,1.031
2.694000,-0.2756,0.2081,0.9707,1.032
2.702000,-0.2765,0.2070,0.9502,1.013
2.714000,-0.2697,0.2168,0.9355,0.999
2.722000,-0.2942,0.2012,0.8906,0.963
2.732000,-0.3177,0.2051,0.8524,0.939
2.742000,-0.3186,0.2217,0.8417,0.933
2.751000,-0.3333,0.2324,0.8584,0.956
2.763000,-0.3616,0.2305,0.8642,0.973
2.774000,-0.3860,0.2051,0.8691,0.984
2.781000,-0.3939,0.1972,0.8661,0.984
2.791000,-0.3782,0.1963,0.8691,0.979
2.802000,-0.3362,0.1874,0.8612,0.952
2.812000,-0.3147,0.1934,0.8642,0.946
2.829000,-0.2912,0.2188,0.8720,0.949
2.837000,-0.2912,0.2295,0.8955,0.972
2.843000,-0.3098,0.2481,0.8887,0.977
2.852000,-0.3499,0.2432,0.8808,0.985
2.865000,-0.4036,0.2217,0.8544,0.982
2.882000,-0.4134,0.1963,0.8524,0.981
2.892000,-0.4193,0.1816,0.8134,0.949
2.902000,-0.4095,0.1846,0.8007,0.933
2.912000,-0.3988,0.1992,0.8016,0.931
2.929000,-0.4202,0.2012,0.8183,0.956
2.932000,-0.4456,0.2012,0.8319,0.981
2.944000,-0.4554,0.2109,0.8593,1.010
2.958000,-0.4964,0.2227,0.8994,1.067
2.961000,-0.5072,0.2217,0.9278,1.097
2.972000,-0.4682,0.2178,0.9297,1.078
2.982000,-0.4535,0.1992,0.9414,1.077
2.993000,-0.4290,0.1953,0.9346,1.059
3.004000,-0.3880,0.1827,0.9258,1.031
3.011000,-0.3480,0.1513,0.9502,1.032
3.023000,-0.3587,0.1035,0.9532,1.035
3.032000,-0.3743,0.0928,0.9609,1.048
3.044000,-0.3410,0.1191,0.8955,0.977
3.057000,-0.2844,0.1250,0.9258,0.983
3.062000,-0.3548,0.1259,0.8652,0.956
3.076000,-0.3528,0.1620,0.8877,0.979
3.082000,-0.3782,0.1523,0.8906,0.992
3.092000,-0.4661,0.1934,0.9463,1.087
